Number of Essays,"Essay
Publication",Date,True,False,Blank,Net,Exam Duration
1,Brand 1,29/12/23,96,18,6,91.5,120
2,Brand 2,01/01/2024,109,8,3,105,90
3,Brand 2,04/01/2024,106,9,5,104.75,96
4,Brand 2,05/01/2024,106,13,3,103.25,90
5,Brand 1,06/01/2024,98,14,8,94.5,98
6,Brand 1,07/01/2024,104,12,4,101,102
7,Brand 1,08/01/2024,103,14,3,99.5,98
8,Brand 3,09/01/2024,101,14,5,97.5,120
9,Brand 2,10/01/2024,100,14,6,96.75,82
10,Brand 1,11/01/2024,95,18,7,88,125
11,Brand 1,12/01/2024,104,12,4,101,110
12,Brand 2,15/01/2024,94,23,3,88.25,108
13,Brand 4,16/01/2024,102,15,3,98.25,113
14,Brand 5,17/01/2024,106,14,0,102.5,124
15,Brand 6,18/01/2024,102,10,8,100.5,127
16,Brand 7,19/01/2024,101,16,1,99,122
17,Brand 8,22/01/2024,102,12,6,99,118
18,Brand 5,23/01/2024,102,11,7,98.25,130
19,Brand 4,24/01/2024,111,7,2,109.25,103
20,Brand 1,25/01/2024,97,20,3,92,125
21,Brand 6,28/01/2024,106,10,4,103.5,105
22,Brand 7,29/01/2024,101,14,5,97.5,130
23,Brand 5,02/02/2024,102,14,4,98.5,87
